poem,theme
Had I been raised by doves wouldn’t I have learned to fly   By wolves to hunt in packs   Had I been raised by gods wouldn’t I too be godlike   In the movies the orphan is the killer not loved enough unwanted   But wasn’t I most wanted   My mother fish goddess dove into the sea for the sin of loving a mortal man   I love a mortal man too   At night I coax him from sleep rousing him with my mouth   By day we build high brick walls around us   our Babylon   Had my mother lived to see me rise from this boundless deep  would she recognize me as I have grown large and my arms have become the long arms of the sea reaching over   and over    for the shore ,Love
"I dreamt—before death made such dreaming vain— That sometime, on a day of wind and rain, I would come home to you at fall of night And see your window flushed with firelight. There in the chill dark lonesomeness I’d wait A moment, standing at the garden gate Scarce trusting that my happiness was true,— The kind warm lights of home and love and you.  Then, lest they’d vanish to be mine no more, I’d speed my steps along the garden path, Cross my own threshold, close the wind-blown door And find you in the firelight of the hearth. O happiness! to kneel beside you there And feel your fingers resting on my hair.  In misty cerements they wrapped the word My heart had feared so long: dead... dead... I heard But marvelled they could think the thing was true Because death cannot be for such as you. So while they spoke kind words to suit my need Of foolish idle things my heart took heed, Your racquet and worn-out tennis shoe,Would God that I might build my love in stone That would out-time the centuries and dare Despiteful death to lay his finger there, So that your fame to all men might be known; A minister church, crowned with a soaring spire, Great buttressed walls, clerestory, lofty nave, Deep carven doors and every window braveWhen I can dare at last to speak your name It shall not be with hushed and reverent speech As if your spirit were beyond the reach Of homely merry things, kind jest or game. Death shall not hide you in some jewelled shrine Nor set you in marmoreal pomp apart, You who still share the ingle of my heart, Participant",Love
"  The first time I kissed It was my girlfriends who kissed They invented a flavor, a style, a smell My lips weren't there.  The first time I kissed The prince was chosen by these dreaming girls He was a jerk to me A toad, a dragon that spat its fire on me  I don't know what it was like They didn't see my closed eyes I wasn't there.   I won’t wash the dishes anymore Or dust the furniture I'm sorry I've begun to read The other day I opened a book and a week later I decided I won't carry the trash out to the trash bin Or clean up the  Time is an essence I carry within me Time and its strands They've been coiled inside me since my navel was knotted It has as its complementary counterpart The space between time and its options Time,  I am a black renegade I refuse the mirror daily Which tries to massacre me inside Which tries to deceive me with white lies Which tries to discolor me with its rays of light  I am a black renegade",Love
  – Daniel Borzutzky   My body is a small cave door  it’s a slick whale a jubilant sea of tall grass that sways & makes its way across countries  & lovers I love love-making I don’t remember a time when  I wasn’t interested in touch I have these breasts & some  would want to come  on hands  & knees to worship them  call me flower  or  desert Maybe I was only supposed to be stone or a baby eel  long & layered a nun? I don’t remember ever saying   yes  just no I am searching for my own body  not the one I was told is so  I want to be always open   like a canyon Maybe I was only supposed to be  tree or temple  In some circles I am just an open gate  a sinful bauble   Once someone said you are   & I never questioned it  I am searching my own body  for  God   or someone like her— ,Love
"When I smell the dirt on the oiled leather I fear that I am leaving everyone to become A field of wind and sunlight. I climb a stone wall to look at the ocean With a bird call stuck in my mind. The frog, my spirit animal, cocks Its bulging eyeball at me and its throat Enlarges as if to laugh, to engulf All the air since neither of us wishes to live In a gloomy house of fish scales And neither of us can perform basic manual tasks Like re-greasing the axle, repotting the hydrangea Or knitting a new sweater maybe Because I dropped the knife on my toes When I was 8—I was trying to hack A pumpkin from its vine but the mouse Darting through the garden startled me And some spec or mote dove into The abyss of my insides where I am The night watchman at the perfume factory Where the machines never quit humming Where the stench is overwhelming Where I have to wear a mask or I’ll black out I’ll float down the river, get stuck in the reeds Or torn to shreds in the sudden eddies. Blood gushed from my big toe but the knife Didn’t make a clean cut. Something else was wounded So I put on my gold star badge. I, sheriff Of the cosmos, must cordon off the attic. The mold has made it unstable and besides No one can breathe, even with the oxygen pump That the doctor left dangling in the branches Of the oak that shades the eastern side of the yard. The cabbages look neon in the maturing sun— There’s time for one last cup of coffee before The raindrops dive straight at the old glove And bucket of balls. When the sky clouds over It’s like Dad’s staring at me again. I’m not even sleeping. It’s the middle of the day And he lives 200 miles away— He just buried his dog in a black mound near the pond He just opened a box of love letters He just ran his finger over the lumpy dough Remembering when we stopped by the big lake On our way to the museum—the sun had just come up And I felt like I was holding a hammer That would break the glossy water into little pieces That would spin around the lookout station— I was 10 or 11. I had just discovered hairspray— I was trying to make my head a hammer But this is not a memoir—this is not a personal account Of each burning nanosecond of wakefulness. I picked up the old mitt just to smell the leather. ",Love
there is always  one more death to paint us   an ochre without axle aiming us like    a sunflower  down a path a harp once followed   to still the scythe before losing  love against itself A candle: presented in the water  Shall the boundary: seen before the boundary: lift the law:     neither dove,Love
"When smoke stood up from Ludlow,  And mist blew off from Teme, And blithe afield to ploughing  Against the morning beam  I strode beside my team,  The blackbird in the coppice  Looked out to see me stride, And hearkened as I whistled  The trampling team beside,  And fluted and replied:  ‘Lie down, lie down, young yeoman;  What use to rise and rise? Rise man a thousand mornings  Yet down at last he lies,  And then the man is wise.’  I heard the tune he sang me,  And spied his yellow bill; I picked a stone and aimed it  And threw it with a will:  Then the bird was still.  Then my soul within me  Took up the blackbird’s strain, And still beside the horses  Along the dewy lane  It sang the song again:  ‘Lie down, lie down, young yeoman;  The sun moves always west; The road one treads to labour  Will lead one home to rest,  And that will be the best.’ Into my heart on air that kills   From yon far country blows:  What are those blue remembered hills,   What spires, what farms are those?    That is the land of lost content,  I see it shining plain,  The happy highways where I went   And cannot come again.Loveliest of trees, the cherry now  Is hung with bloom along the bough,  And stands about the woodland ride  Wearing white for Eastertide.    Now, of my threescore years and ten, Twenty will not come again,  And take from seventy springs a score,  It only leaves me fifty more.    And since toOn your midnight pallet lying,  Listen, and undo the door: Lads that waste the light in sighing  In the dark should sigh no more; Night should ease a lover’s sorrow; Therefore, since I go to-morrow,  Pity me before.  In the land to which I travel,  The far dwelling, let me say— Once, if here the couch",Love
"what I really mean. He paints my name   across the floral bed sheet and ties the bottom corners to my ankles. Then he paints another   for himself. We walk into town and play the shadow game, saying It's all very polite.   Our shadows get dirty just like anyone's, so we take them to the Laundromat—the one with   the 1996 Olympics themed pinball machine— and watch our shadows warm   against each other. We bring the shadow game home and (this is my favorite part) when we   stretch our shadows across the bed, we get so tangled my husband grips his own wrist,   certain it's my wrist, and kisses it. Here is a description of hundreds of years in which I never comprehend it is hundreds of years, passing “We lived together,” I write, but what does that mean  Last night A. convinced me you are a parasite OK, you’re a parasite, that’s interesting My blood mixes with the blood of the flea And",Love
"It's a day when all the dogs of all the borrowed houses are angel footing down the hard hardwood of middle-America's newly loaned-up renovated kitchen floors, and the world's nicest pie I know is somewhere waiting for the right time to offer itself to the wayward and the word-weary. How come the road goes coast",Love
"   So much like sequins the sunlight on this river. Something like that kiss—   remember? , with the moon down earlythe air moved   as if it were thinking, as if it had begun to understand   how hard it is  to feel at home in the world,   but that night she found a place just above your shoulder   and pressed her lips there. Soft rain   had called off the fireworks: the sky was quiet, but back on Earth   two boys cruised by on bikes trying out bad words. You turned to reach her mouth,   at last, with yoursafter weeks of long walks, talking   about former loves gone awry—   how the soul finally falls down   and gets up alone once more   finding the city strange, the streets unmarked.  Every time you meet someone it’s hard not to wonder   who they’ve been—one story breaking so much   into the next: memory engraves its hesitations—   but that night you found yourself unafraid. Do you remember   what the wind told the trees about her brown hair?— how the cool dark turned around:   that first kiss, long as a river.   Didn’t it seem like you already loved her?   Off the sidewalk: a small pond, the tall cattails, all those sleepy koi   coloring the water. Five-legged pocket spiders, knuckled starfish, grabbers of forks, why do I forget that you love me: your willingness to button my shirts, tie my shoes—even scratch my head! which throbs like a traffic jam, each thought leaning on its horn. I see you  waiting anyplace always  at the ends of my arms—for the doctor",Love
"I am lazy, the laziest girl in the world. I sleep during the day when I want to, 'til my face is creased and swollen, 'til my lips are dry and hot. I  eat as I please: cookies and milk after lunch, butter and sour cream on my baked potato, foods that slothful people eat, that turn yellow and opaque beneath the",Love
"‘Farewell to barn and stack and tree,  Farewell to Severn shore. Terence, look your last at me,  For I come home no more.  ‘The sun burns on the half-mown hill,  By now the blood is dried; And Maurice amongst the hay lies still  And my knife is in his side.  ‘My mother thinks us long away;  ’Tis time the field were mown. She had two sons at rising day,  To-night she’ll be alone.  ‘And here’s a bloody hand to shake,  And oh, man, here’s good-bye; We’ll sweat no more on scythe and rake,  My bloody hands and I.  ‘I wish you strength to bring you pride,  And a love to keep you clean, And I wish you luck, come Lammastide,  At racing on the green.  ‘Long for me the rick will wait,  And long will wait the fold, And long will stand the empty plate,  And dinner will be cold.’ On moonlit heath and lonesome bank  The sheep beside me graze; And yon the gallows used to clank  Fast by the four cross ways.  A careless shepherd once would keep  The flock by moonlight there, And high amongst the glimmering sheep  The dead man stood on air.  They hang us now in Shrewsbury jailOh see how thick the goldcup flowers  Are lying in field and lane, With dandelions to tell the hours  That never are told again. Oh may I squire you round the meads  And pick you posies gay? —’Twill do no harm to take my arm.  ‘You may, young man, you may.’  Ah, spring was sent for lass and lad,  ’When I was one-and-twenty   I heard a wise man say,  ‘Give crowns and pounds and guineas   But not your heart away;    Give pearls away and rubies  But keep your fancy free.’  But I was one-and-twenty,   No use to talk to me.    When I was one-and-twenty   I heard him say again, ‘The heart out of",Love
"Oh see how thick the goldcup flowers  Are lying in field and lane, With dandelions to tell the hours  That never are told again. Oh may I squire you round the meads  And pick you posies gay? —’Twill do no harm to take my arm.  ‘You may, young man, you may.’  Ah, spring was sent for lass and lad,  ’Tis now the blood runs gold, And man and maid had best be glad  Before the world is old. What flowers to-day may flower to-morrow,  But never as good as new. —Suppose I wound my arm right round—  ‘Tis true, young man, ’tis true.’   Some lads there are, ’tis shame to say,  That only court to thieve, And once they bear the bloom away  ’Tis little enough they leave. Then keep your heart for men like me  And safe from trustless chaps. My love is true and all for you.  ‘Perhaps, young man, perhaps.’  Oh, look in my eyes then, can you doubt?  —Why, ’tis a mile from town. How green the grass is all about!  We might as well sit down. —Ah, life, what is it but a flower?  Why must true lovers sigh? Be kind, have pity, my own, my pretty,—  ‘Good-bye, young man, good-bye.’ When smoke stood up from Ludlow,  And mist blew off from Teme, And blithe afield to ploughing  Against the morning beam  I strode beside my team,  The blackbird in the coppice  Looked out to see me stride, And hearkened as I whistled  The trampling team beside,  And fluted and replied:  ‘LieLoveliest of trees, the cherry now Is hung with bloom along the bough, And stands about the woodland ride Wearing white for Eastertide.   Now, of my threescore years and ten, Twenty will not come again, And take from seventy springs a score, It only leaves me fifty more.   And since to look at things in bloom",Love
"You said bad men waited inside your mouth, which meant a fire   was catching. We drove toward a cloud of smoke that rose above   the city. In the mirror, I saw the wide belt strapped across   your chest, and on the radio, men stormed the gates   in another country. , you said, looking out.   The window held the sun flatly. I held my breath. The brush   had not been cleared in weeks, and the mountain prepared to burn. My son wants to know  his name. My son swims  four days a week. When my son swims  underwater, he glides  between strokes. When he glides underwater, he is  an arrow aimed  at a wall. Four days a week, his coach says,  ",Love
"I have come to the borders of sleep,  The unfathomable deep Forest where all must lose Their way, however straight,  Or winding, soon or late; They cannot choose.   Many a road and track That, since the dawn's first crack, Up to the forest brink,  Deceived the travellers, Suddenly now blurs, And in they sink.Yes. I remember Adlestrop— The name, because one afternoon Of heat the express-train drew up there Unwontedly. It was late June.   The steam hissed. Someone cleared his throat. No one left and no one came On the bare platform. What I saw Was Adlestrop—only the name   And willows, willow-herb, and grass, And",Love
" I  Through the dark pine trunks Silver and yellow gleam the clouds And the sun; The sea is faint purple.   II  You are beautiful As a straight red fox-glove Among green plants; I stretched out my hand to caress you: It is blistered by the envious nettles.   III  I have spent hours this morning Seeking in the brook For a clear pebble To remind me of your eyes.  And all the sleepless hours of night I think of you.   IV  Your kisses are poignant, Ah! why must I leave you?  Here above I scribble and re-scribble The words of a long-dead Greek Poet: “Love, thou art terrible, Ah, Love, thou are bitter-sweet!”  I have been a spendthrift Dropping from lazy fingers Quiet coloured hours, Fluttering away from me Like oak and beech leaves in October.  I have lived keenly and wastefully, Like a bush or a sun insect— Lived sensually and thoughtfully, Loving the flesh and the beauty of this world— Green ivy about ruined towersOne night I wandered alone from my comrades’ huts; The grasshoppers chirped softly In the warm misty evening; Bracken fronds beckoned from the darkness With exquisite frail green fingers; The tree gods muttered affectionately about me, And from the distance came the grumble of a kindly train.  I was so happy to",Love
"My heart is like a singing bird   Whose nest is in a water'd shoot;  My heart is like an apple-tree   Whose boughs are bent with thick-set fruit;  My heart is like a rainbow shell   That paddles in a halcyon sea;  My heart is gladder than all these,   Because my love is come to me.    Raise me",Love
"I left you in the morning,  And in the morning glow, You walked a way beside me To make me sad to go. Do you know me in the gloaming, Gaunt and dusty grey with roaming? Are you dumb because you know me not, Or dumb because you know?  All for me? And not a question For the faded flowers gay That could take me from beside you For the ages of a day? They are yours, and be the measure  Of their worth for you to treasure, The measure of the little while That I’ve been long away.  A stranger came to the door at eve,  And he spoke the bridegroom fair. He bore a green-white stick in his hand,  And, for all burden, care. He asked with the eyes more than the lips  For a shelter for the night, And he turned and looked at the road afar   Without a window light.  The bridegroomWhat things for dream there are when spectre-like, Moving among tall haycocks lightly piled, I enter alone upon the stubble field, From which the laborers’ voices late have died, And in the antiphony of afterglow And rising full moon, sit me down Upon the full moon’s side of the first haycock And lose myself amid",Love
"Oh, give us pleasure in the flowers to-day; And give us not to think so far away As the uncertain harvest; keep us here All simply in the springing of the year.  Oh, give us pleasure in the orchard white, Like nothing else by day, like ghosts by night; And make us happy in the happy bees, The swarm dilating round the perfect trees.  And make us happy in the darting bird That suddenly above the bees is heard, The meteor that thrusts in with needle bill, And off a blossom in mid air stands still.  For this is love and nothing else is love, The which it is reserved for God above To sanctify to what far ends He will, But which it only needs that we fulfil.  Now close the windows and hush all the fields;  If the trees must, let them silently toss; No bird is singing now, and if there is,  Be it my loss.  It will be long ere the marshes resume,  It will be long ere the earliest bird: So close the windows and not hear the wind,  But see all wind-stirred",Love
"Lovers, forget your love,  And list to the love of these, She a window flower,  And he a winter breeze.  When the frosty window veil  Was melted down at noon, And the cagèd yellow bird  Hung over her in tune,  He marked her through the pane,  He could not help but mark, And only passed her by,  To come again at dark.  He was a winter wind,  Concerned with ice and snow, Dead weeds and unmated birds,  And little of love could know.  But he sighed upon the sill,  He gave the sash a shake, As witness all within  Who lay that night awake.  Perchance he half prevailed  To win her for the flight From the firelit looking-glass  And warm stove-window light.  But the flower leaned aside  And thought of naught to say, And morning found the breeze  A hundred miles away. I left you in the morning,  And in the morning glow, You walked a way beside me To make me sad to go. Do you know me in the gloaming, Gaunt and dusty grey with roaming? Are you dumb because you know me not, Or dumb because you know?  All for me? And not a question For the faded flowers gay That could take me from",Love
"A house that lacks, seemingly, mistress and master,  With doors that none but the wind ever closes, Its floor all littered with glass and with plaster;  It stands in a garden of old-fashioned roses.  I pass by that way in the gloaming with Mary;   ‘I wonder,’ I say, ‘who the owner of those is. ‘Oh, no one you know,’ she answers me airy,  ‘But one we must ask if we want any roses.’  So we must join hands in the dew coming coldly  There in the hush of the wood that reposes, And turn and go up to the open door boldly,  And knock to the echoes as beggars for roses.  ‘Pray, are you within there, Mistress Who-were-you?’  ’Tis Mary that speaks and our errand discloses. ‘Pray, are you within there? Bestir you, bestir you!  ’Tis summer again; there’s two come for roses.  ‘A word with you, that of the singer recalling—  Old Herrick: a saying that every maid knows is  A flower unplucked is but left to the falling,  And nothing is gained by not gathering roses.’  We do not loosen our hands’ intertwining  (Not caring so very much what she supposes), There when she comes on us mistily shining  And grants us by silence the boon of her roses. Love at the lips was touch As sweet as I could bear; And once that seemed too much; I lived on air  That crossed me from sweet things, The flow of—was it musk From hidden grapevine springs Downhill at dusk?  I had the swirl and ache From sprays of honeysuckle That when they're gathered shake Dew on the knuckleThe well was dry beside the door,   And so we went with pail and can  Across the fields behind the house   To seek the brook if still it ran;    Not loth to have excuse to go,  Because the autumn eve was fair  (Though chill), because the fields were ours,   And by the brook our woods were there.",Love
"A stranger came to the door at eve,  And he spoke the bridegroom fair. He bore a green-white stick in his hand,  And, for all burden, care. He asked with the eyes more than the lips  For a shelter for the night, And he turned and looked at the road afar   Without a window light.  The bridegroom came forth into the porch  With ‘Let us look at the sky, And question what of the night to be,  Stranger, you and I.’ The woodbine leaves littered the yard,  The woodbine berries were blue, Autumn, yes, winter was in the wind;  ‘Stranger, I wish I knew.’  Within, the bride in the dusk alone  Bent over the open fire, Her face rose-red with the glowing coal  And the thought of the heart’s desire.  The bridegroom looked at the weary road,  Yet saw but her within, And wished her heart in a case of gold  And pinned with a silver pin.  The bridegroom thought it little to give  A dole of bread, a purse, A heartfelt prayer for the poor of God,  Or for the rich a curse;  But whether or not a man was asked  To mar the love of two By harboring woe in the bridal house,  The bridegroom wished he knew. How countlessly they congregate  O’er our tumultuous snow, Which flows in shapes as tall as trees  When wintry winds do blow!—  As if with keenness for our fate,  Out faltering few steps on To white rest, and a place of rest  Invisible at dawn,—  And yet with neither love nor hate,  ThoseWhose woods these are I think I know. His house is in the village though; He will not see me stopping here To watch his woods fill up with snow.  My little horse must think it queer To stop without a farmhouse near Between the woods and frozen lake The darkest evening of the year.  He gives his harness bells a",Love
"Before our lives divide for ever,   While time is with us and hands are free,  (Time, swift to fasten and swift to sever   Hand from hand, as we stand by the sea)  I will say no word that a man might say  Whose whole life's love goes down in a day;  For this could never have been; and never,",Love
